id;nom;description;effet
1;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic
2;moratorium moratorium;New York tangible Mississippi;Frozen bus
3;hard drive Robust Networked;Poland;Small partnerships
4;Outdoors;Harbor Montana;Corporate Phased relationships
5;white Brand Money Market Account;Salad Web virtual;Refined Squares
6;maroon;EXE projection Fresh;support Gorgeous
7;withdrawal;copying;ability Hat Iraq
8;magenta Concrete;User-centric Gloves;Mauritania
9;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical
10;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer
